time,consum_per_hh,income_per_hh,wealth_per_hh,tot_hhs
1958-01-01,40701.60546875,66885.515625,325235.5625,49871736
1958-04-01,40526.078125,66568.0546875,326977.4375,50071248
1958-07-01,40732.140625,67764.0625,336290.1875,50271388
1958-10-01,40610.390625,68539.734375,338325.90625,50480812
1959-01-01,40719.078125,69168.0546875,339936.65625,50712192
1959-04-01,40990.9765625,70134.0390625,343422.8125,50951928
1959-07-01,41262.01953125,69750.40625,343464.09375,51192040
1959-10-01,41437.29296875,70073.15625,342770.34375,51442916
1960-01-01,41503.94140625,70644.84375,342235.0625,51773472
1960-04-01,41627.51171875,70560.953125,342272.125,52114104
1960-07-01,41301.2421875,70465.0546875,340161.875,52455064
1960-10-01,41257.46875,69845.625,341225.1875,52807836
1961-01-01,41514.3125,70182.6796875,348333.40625,52985596
1961-04-01,41888.44140625,70925.015625,352727.125,53174828
1961-07-01,41898.7265625,71560.0625,356920.59375,53364648
1961-10-01,42396.3359375,72622.8515625,360344.71875,53566028
1962-01-01,42573.0859375,73048.109375,359802.5,53855788
1962-04-01,42778.9609375,73539.2890625,343884.65625,54157172
1962-07-01,42943.125,73700.765625,347485.375,54459628
1962-10-01,43104.859375,74033.9140625,357599.65625,54772776
1963-01-01,43246.99609375,74458.109375,361644.53125,54887660
1963-04-01,43468.69140625,74957.2578125,367704.5625,55013736
1963-07-01,44048.640625,75422.8515625,371110,55141268
1963-10-01,44311.28515625,76401.7578125,365222.96875,55277896
1964-01-01,44873.80859375,77197.3203125,369768.875,55487220
1964-04-01,45382.73046875,78312.4453125,377112.0625,55706404
1964-07-01,45904.55859375,79195.734375,381393.5625,55927452
1964-10-01,46172.66796875,79745.546875,381858.90625,56155992
1965-01-01,46420.93359375,80639.5234375,385430.53125,56468548
1965-04-01,46771.06640625,81230.8203125,382572.8125,56789584
1965-07-01,47159.46875,82461.9453125,390742.8125,57113044
1965-10-01,47974.390625,83435.4296875,394750,57441736
1966-01-01,48235.140625,84053.859375,391041.34375,57676844
1966-04-01,48534.01171875,84499.5625,392407.75,57918036
1966-07-01,48715.5625,85047.53125,384016.84375,58162576
1966-10-01,48824.296875,85871.6796875,387888.6875,58411368
1967-01-01,49142.11328125,86791.6640625,400635.21875,58612160
1967-04-01,49393.34375,87028.5078125,404187,58817904
1967-07-01,49682.55859375,87493.1875,411038.46875,59027952
1967-10-01,49852.80078125,87839.703125,409745.21875,59240480
1968-01-01,50381.02734375,88857.984375,406824.8125,59629348
1968-04-01,50758.5078125,89913.9765625,420083.03125,60021608
1968-07-01,51124.36328125,90278.7890625,419799.40625,60418612
1968-10-01,51173.45703125,90722.25,428335.71875,60816224
1969-01-01,51370.921875,90847.5,423132.09375,61162876
1969-04-01,51551.69921875,90957.8984375,418325.28125,61511172
1969-07-01,51604.8046875,91503.875,413035.1875,61864116
1969-10-01,51860.1875,91458.2109375,403004.03125,62215372
1970-01-01,52146.1640625,91209.0546875,397237.1875,62511068
1970-04-01,52118.62890625,91353.1796875,387030.125,62805800
1970-07-01,52380.0859375,91527.515625,394482.28125,63104460
1970-10-01,52517.14453125,90789.3046875,396964.5,63401976
1971-01-01,52542.57421875,91618.6015625,406606.625,63745540
1971-04-01,52675.44140625,92528.2421875,412474.875,64088252
1971-07-01,52688.234375,92553.2109375,412146.5,64434108
1971-10-01,53107.4765625,93069.09375,416370.375,64778300
1972-01-01,53395.4453125,94411.6328125,422859.3125,65252896
1972-04-01,53885.97265625,94723.1171875,427477.75,65726040
1972-07-01,54221.64453125,95740.65625,433306.59375,66201572
1972-10-01,54815.34375,98138.90625,446352.25,66676868
1973-01-01,55079.40625,97923.921875,436233.59375,67069580
1973-04-01,54963.0546875,97970.65625,431555.46875,67462648
1973-07-01,54989.078125,97818.9609375,438128,67857832
1973-10-01,54721.4609375,97684.5,419772.46875,68251280
1974-01-01,54123.61328125,95924.3203125,405313.21875,68653048
1974-04-01,54110.3671875,94955.3125,392869.46875,69053536
1974-07-01,54053.8125,94410.5859375,379298.3125,69458088
1974-10-01,53821.0546875,92839.96875,374228.3125,69859616
1975-01-01,53954.8359375,92257.921875,380621.375,70174120
1975-04-01,54555.6328125,93021.421875,391037.46875,70487800
1975-07-01,54650.80078125,93070.0546875,384041.5625,70807008
1975-10-01,54902.62109375,93069.6171875,385034.71875,71118568
1976-01-01,55295.00390625,93949.1796875,389915.125,71557144
1976-04-01,55532.48046875,94267.421875,395115.75,71992632
1976-07-01,55796.953125,94351.703125,396327.6875,72433472
1976-10-01,56140.44921875,94438.0703125,397464.09375,72862968
1977-01-01,56331.55859375,94569.0078125,394459.46875,73186512
1977-04-01,56328.0625,95336.78125,395773.65625,73505600
1977-07-01,56592.3203125,95982.984375,398668.15625,73827312
1977-10-01,57021.375,97330.3046875,399060.46875,74134320
1978-01-01,57337.390625,97430.0859375,399617.75,74615504
1978-04-01,57797.99609375,98178.28125,400537.90625,75088704
1978-07-01,57855.578125,97954.3515625,402760.09375,75562456
1978-10-01,57861.83984375,97592.8671875,399619,76020600
1979-01-01,58124.30859375,97769.796875,404530.5625,76357112
1979-04-01,58156.43359375,96593.546875,402451.90625,76682920
1979-07-01,58264.484375,95954.296875,401397.46875,77009840
1979-10-01,58376.20703125,94968.390625,398870.90625,77319704
1980-01-01,57838.70703125,93102.234375,388955.4375,78194336
1980-04-01,56752.7734375,90906.3828125,385178.09375,79055424
1980-07-01,56610.26953125,91112.6796875,389250.15625,79918848
1980-10-01,56591.93359375,91042.09375,386298,80766848
1981-01-01,56276.14453125,90530.7734375,381929.1875,81176848
1981-04-01,56364.9296875,90301.34375,381893.15625,81573896
1981-07-01,56150.80078125,90629.15625,373353.09375,81974248
1981-10-01,55908.44921875,89662.65625,375948.6875,82358800
1982-01-01,56032.15625,89805.1875,376512.875,82661024
1982-04-01,56063.05078125,89871.8203125,374056.78125,82949360
1982-07-01,56242.9375,89226.6875,373703.15625,83240456
1982-10-01,56742.46484375,89833.2109375,381301.46875,83519152
1983-01-01,57352.65625,91001.6875,390914.71875,83627504
1983-04-01,58071.6640625,91541.6484375,395058.59375,83724992
1983-07-01,58849.5078125,92326.3515625,396752.40625,83822600
1983-10-01,59334.4375,93800.5625,395366.78125,83910296
1984-01-01,59397.0859375,94755.3984375,394020.09375,84263656
1984-04-01,59866.4453125,96016.1953125,395580.59375,84607088
1984-07-01,60167.80859375,96976.359375,402087.65625,84948000
1984-10-01,60468.4921875,97236.703125,404821.03125,85284096
1985-01-01,61155.42578125,97686.0546875,408953.1875,85666720
1985-04-01,61466.09765625,97671.34375,413258.28125,86042424
1985-07-01,61912.9609375,98031.7890625,416971.9375,86414048
1985-10-01,62109.1328125,98282.7421875,423785.21875,86785504
1986-01-01,62236.578125,98903.6640625,430899.28125,87207640
1986-04-01,62394.00390625,100155.9921875,441724.03125,87625032
1986-07-01,62492.43359375,100350.015625,444569.125,88039160
1986-10-01,62806.82421875,100078.2578125,452997.5625,88458848
1987-01-01,63420.6328125,99806.734375,460900.40625,88713328
1987-04-01,63850.51171875,100044.53125,462505.6875,88968440
1987-07-01,64072.21484375,100546.390625,469542.46875,89221336
1987-10-01,64371.23046875,101741.1796875,460128.4375,89482832
1988-01-01,64928.703125,102419.125,465948.75,89889080
1988-04-01,65187.1328125,102781.765625,470066.4375,90300952
1988-07-01,65702.40625,103383.640625,472024.28125,90710240
1988-10-01,66008.9609375,103792.7109375,473839.625,91128632
1989-01-01,66147.5,104911.1171875,476265.46875,91548736
1989-04-01,66033.6796875,104006.2421875,477286.96875,91976632
1989-07-01,66183.1875,104051.3203125,484906.40625,92401448
1989-10-01,66568.921875,104197.234375,483540.34375,92833896
1990-01-01,66762.828125,104332.7890625,476348.1875,92957488
1990-04-01,67239.640625,104836.5078125,478914.375,93088456
1990-07-01,67539.1953125,104350.453125,467988.5,93216064
1990-10-01,67208.1015625,102917.65625,465582.59375,93350272
1991-01-01,67064.2734375,102225.703125,472678.03125,93586656
1991-04-01,67417.9609375,102459.4921875,472047.09375,93829400
1991-07-01,67453.46875,102660.8359375,474187.65625,94069280
1991-10-01,67491.75,103036.375,476929.0625,94315168
1992-01-01,68392.7265625,104161.109375,474007.9375,94649688
1992-04-01,68545.2734375,104583.09375,472710.25,94990336
1992-07-01,68911.265625,104826.5859375,474884.5625,95328448
1992-10-01,69467.8515625,104949.28125,477233.5,95672048
1993-01-01,69592.96875,104552.640625,480902.0625,95856704
1993-04-01,69799.6640625,104747.09375,483214.96875,96047000
1993-07-01,70405.4140625,105103.609375,488345.5625,96235576
1993-10-01,70786.3515625,105398.9296875,488589.40625,96429552
1994-01-01,71344.8984375,105641.9453125,490070.71875,96594536
1994-04-01,71713.4609375,106531.8671875,491043.9375,96765432
1994-07-01,72056.9140625,106820.5859375,493474.8125,96936432
1994-10-01,72496.0546875,107888.8125,490899.375,97109832
1995-01-01,72587.390625,108153.3125,496289.28125,97576600
1995-04-01,72853.4453125,107822.3515625,499985,98046376
1995-07-01,72933.15625,108360.8984375,505229.25,98520032
1995-10-01,73035.15625,108453.1796875,508695.1875,98992208
1996-01-01,73586.5546875,109128.7578125,514578.96875,99148936
1996-04-01,73984.921875,110129.453125,516188.59375,99305584
1996-07-01,74271.6171875,110756.4765625,522277.15625,99469432
1996-10-01,74662.8984375,111083.859375,523780.5,99627768
1997-01-01,75018.625,111702.8359375,525258.75,99975448
1997-04-01,75155.1796875,112452.59375,542526.375,100319416
1997-07-01,75858.75,113485.5625,561968,100671416
1997-10-01,76385.0078125,114683.9140625,559085.8125,101019456
1998-01-01,76920.5078125,116221.296875,583560.0625,101395792
1998-04-01,77566.40625,117586.7890625,587426.9375,101770776
1998-07-01,78122.640625,118337.96875,582474.75,102151504
1998-10-01,78427.8828125,118794.28125,599288.375,102528280
1999-01-01,79080.2265625,119043.03125,601521.6875,102864720
1999-04-01,79590.859375,118858.59375,608992.625,103199968
1999-07-01,80106.1015625,119408.8828125,615364.6875,103537992
1999-10-01,81015.453125,120598.9375,635015.4375,103874488
2000-01-01,81658.3828125,122290.0625,645440.5,104081312
2000-04-01,82562.2421875,123278.21875,636387.375,104289280
2000-07-01,83138.0859375,124371.875,653162.6875,104498464
2000-10-01,83678.984375,124714.2578125,627610.8125,104703552
2001-01-01,83177.6640625,124525.6953125,614690.3125,105581048
2001-04-01,82655.3203125,123183.6484375,620553.125,106457312
2001-07-01,82212.2265625,121767.5625,611895.625,107334392
2001-10-01,81970.8828125,120718.5078125,617580.625,108206936
2002-01-01,82165.515625,120582.6171875,623521.875,108481216
2002-04-01,82352.3359375,120575.109375,607458.5,108753880
2002-07-01,82476.015625,120342.40625,598455.4375,109026888
2002-10-01,82829.28125,120378.9765625,597566.0625,109292904
2003-01-01,82956.8125,119292.609375,591002,109793120
2003-04-01,83086.2265625,120046.6328125,614139.3125,110289368
2003-07-01,83534.4375,120410.5234375,625697.875,110784600
2003-10-01,83558.7578125,121119.09375,637913.5,111272800
2004-01-01,84176.0703125,121204.09375,661787.4375,111459416
2004-04-01,84502.703125,121780.9296875,667502.9375,111642384
2004-07-01,85218.984375,122710.671875,682933.5,111821272
2004-10-01,85887.453125,123791.984375,695946.0625,111993208
2005-01-01,86258.3046875,122970.4765625,700089.9375,112336720
2005-04-01,86710.296875,123305.4921875,714349.0625,112675552
2005-07-01,87069.4609375,123341.3671875,722807.1875,113008872
2005-10-01,87312.875,124115.578125,727431.1875,113336832
2006-01-01,87760.671875,126537.1953125,744123.375,113603888
2006-04-01,88039.1484375,126264.2265625,741347.5625,113867024
2006-07-01,88332.9609375,126332.7109375,743875.1875,114126320
2006-10-01,88873.7578125,128308.015625,761307.375,114376888
2007-01-01,89053.609375,129214.0078125,761801,114792256
2007-04-01,88846.53125,128385.640625,761327.3125,115199760
2007-07-01,89088.9765625,128665.7421875,758720.875,115607008
2007-10-01,89078.3984375,128195.9453125,739961.9375,116004976
2008-01-01,89243.59375,128112.453125,708140,116205576
2008-04-01,89436.9921875,129079.4296875,689075.125,116398544
2008-07-01,88927.703125,126072.4140625,647796.0625,116593712
2008-10-01,88711.8828125,127962.9453125,632704.8125,116775048
2009-01-01,88365.7109375,125077.59375,615367.1875,116885192
2009-04-01,87863.2109375,124173.0625,619245.3125,116983768
2009-07-01,87955.984375,123093.203125,626731.6875,117084848
2009-10-01,88025.6953125,123366.9765625,625931.375,117173224
2010-01-01,88411.890625,124279.6484375,634365.8125,117272832
2010-04-01,88898.3359375,126130.765625,633543.5,117361528
2010-07-01,89372.8984375,127398.203125,646883.3125,117452544
2010-10-01,89639.15625,128106.1328125,661447.3125,117528944
2011-01-01,89491.203125,129018.0703125,657377.4375,118138264
2011-04-01,89208.625,127884.8984375,656702.625,118734808
2011-07-01,88989.25,128072.0546875,626773.375,119333576
2011-10-01,88468.796875,127857.7734375,637177.875,119917856
2012-01-01,88738.7890625,128661.921875,645540.75,120219336
2012-04-01,88672.8515625,129445.1484375,649138.625,120507720
2012-07-01,88535.609375,128279.4296875,660193.125,120798488
2012-10-01,88468.125,131870.296875,665141.5,121074976
2013-01-01,88594.7265625,126876.828125,681735.0625,121430872
2013-04-01,88583.5546875,128070.734375,695769.625,121773688
2013-07-01,88641.9921875,127834.5078125,712700.25,122119064
2013-10-01,89105.796875,128041.3984375,728585.5,122449488
2014-01-01,89168.3671875,128829.9609375,734071.125,122654784
2014-04-01,89619.265625,130197.5,750471.0625,122847056
2014-07-01,90285.40625,131412.109375,754638.25,123040792
2014-10-01,91037.2265625,133527.953125,770168.1875,123217008
2015-01-01,91384.0546875,135400.171875,784404.375,123572472
2015-04-01,91673.0390625,135523.9375,783759.6875,123912544
2015-07-01,91968.015625,135682.640625,772480.875,124251640
2015-10-01,91983.09375,136168.640625,784862.875,124573760
2016-01-01,92441.484375,136326.125,790311.9375,124899088
2016-04-01,92718.5390625,135678.96875,795547.75,125208336
2016-07-01,92877.6875,136152.046875,807537.25,125514904
2016-10-01,92831.53125,136544.75,806980.125,125805792
2017-01-01,93629.734375,137362.421875,817778.0625,125924384
2017-04-01,94068.734375,138529.84375,832229.75,126026456
2017-07-01,94335.6015625,139727.21875,844568.8125,126125656
2017-10-01,94630.421875,140594.578125,860296.875,126213304
2018-01-01,95363.890625,140609.4375,856082.5625,126567640
2018-04-01,95779.609375,140739.875,857661.25,126909248
2018-07-01,95797.3671875,142341.8125,872086.875,127248424
2018-10-01,95308.046875,142959.375,836540.625,127576088
2019-01-01,95915.0078125,144509.671875,879461.8125,127837128
2019-04-01,96469.8046875,143684.203125,887150.9375,128086440
2019-07-01,96923.90625,144790.21875,892981.4375,128333192
2019-10-01,96628.1328125,144782.328125,911090.625,128570584
2020-01-01,96095.296875,145522.359375,857481.0625,128549192
2020-04-01,87090.578125,157433.796875,925252.9375,128518368
2020-07-01,93523.875,154000.609375,958032.5625,128484832
2020-10-01,94212.90625,151860.15625,1.012212375e6,128444928
2021-01-01,96199.4296875,168440.734375,1.0347416875e6,128645480
2021-04-01,99238.1484375,156270.25,1.0618785e6,128839936
2021-07-01,100597.8828125,155179.296875,1080345,129031968
2021-10-01,100700.234375,152692.875,1.077634875e6,129220472
2022-01-01,100860.9453125,149257.890625,1.059298875e6,129718776
2022-04-01,101128.15625,146717.15625,991304.1875,130214504
2022-07-01,101002.2890625,147262.84375,966742.9375,130708240
2022-10-01,100663.59375,146962.65625,954427.25,131200608
2023-01-01,101634.0703125,147464.6875,959905.875,131259560
2023-04-01,101832.1484375,147800.171875,985694.5,131318656
2023-07-01,102359.9765625,148222.640625,982392.875,131375576
2023-10-01,102981.2890625,148332.015625,994135.8125,131435904
2024-01-01,103704.40625,148808.671875,1008680,131490200
2024-04-01,104169.7265625,149459.296875,1.0191564375e6,131549832
